scientificName	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Andrena angustitarsata	0	0	1	1	0	0	0	0	0	0	0	0
Andrena anisochlora	0	0	1	0	0	0	0	0	0	0	0	0
Andrena auricoma	0	0	0	1	0	0	0	0	0	0	0	0
Andrena baeriae	0	0	0	1	0	0	0	0	0	0	0	0
Andrena caerulea	0	0	1	1	1	0	0	0	0	0	0	0
Andrena candida	0	0	0	1	0	0	0	0	0	0	0	0
Andrena chlorogaster	0	0	1	1	0	0	0	0	0	0	0	0
Andrena chlorura	0	0	1	1	0	0	0	0	0	0	0	0
Andrena duboisi	0	0	0	1	0	0	0	0	0	0	0	0
Andrena gnaphalii	0	0	0	0	0	0	0	0	0	0	0	0
Andrena hypoleuca	0	0	0	1	1	0	0	0	0	0	0	0
Andrena macrocephala	0	0	0	0	0	0	0	0	0	0	0	0
Andrena nigrocaerulea	0	0	1	1	0	0	0	0	0	0	0	0
Andrena oenotherae	0	0	1	1	1	1	0	0	0	0	0	0
Andrena pallidifovea	0	0	0	1	0	0	0	0	0	0	0	0
Andrena perimelas	0	0	0	0	1	0	0	0	0	0	0	0
Andrena piperi	0	0	1	1	1	0	0	0	0	0	0	0
Andrena plana	0	0	0	1	0	0	0	0	0	0	0	0
Andrena principalis	1	0	0	0	0	0	0	0	0	0	0	0
Andrena prunorum	0	0	0	1	0	0	1	0	0	0	0	0
Andrena sola	0	0	1	1	0	0	0	0	0	0	0	0
Andrena suavis	0	0	0	0	0	0	0	0	0	0	0	0
Andrena subaustralis	0	0	0	1	0	0	0	0	0	0	0	0
Andrena submoesta	0	0	0	1	0	0	0	0	0	0	0	0
Andrena subtilis	0	0	0	0	0	0	0	0	0	0	0	0
Andrena vandykei	1	1	1	0	0	0	0	0	0	0	0	0
Calliopsis	0	0	0	0	0	0	0	0	0	0	0	0
Heterosarus californicus	0	0	0	0	0	0	0	0	0	0	0	0
Panurginus armaticeps	0	0	0	0	0	0	0	0	0	0	0	0
Panurginus gracilis	0	0	0	0	0	0	0	0	0	0	0	0
Panurginus melanocephalus	0	1	0	0	0	0	0	0	0	0	0	0
Perdita layiae	0	0	0	1	0	0	0	0	0	0	0	0
Anthophora californica	0	0	0	1	0	0	0	0	0	0	0	0
Anthophora edwardsii	0	0	0	1	0	0	0	0	0	0	0	0
Anthophora urbana	0	0	0	0	1	1	1	1	1	0	0	0
Apis mellifera	0	0	0	0	1	1	1	1	1	1	1	0
Bombus californicus	0	0	1	0	0	0	0	0	1	1	0	0
Bombus crotchii	0	0	0	0	0	0	0	0	0	0	0	0
Bombus melanopygus	1	1	1	1	1	1	1	1	0	0	0	0
Bombus occidentalis	0	0	0	1	0	0	1	1	1	1	0	0
Bombus vosnesenskii	0	0	1	1	1	1	1	1	1	0	0	0
Ceratina acantha	1	1	1	1	1	1	1	1	1	1	1	1
Ceratina nanula	0	0	1	0	0	0	0	0	0	0	0	0
Diadasia australis	0	0	0	0	0	0	1	0	0	0	0	0
Diadasia bituberculata	0	0	0	0	1	1	1	0	0	0	0	0
Diadasia nigrifrons	0	0	0	0	0	0	0	0	0	0	0	0
Diadasia nitidifrons	0	0	0	0	0	0	0	0	0	0	0	0
Diadasia ochracea	0	0	0	0	1	0	0	0	0	0	0	0
Diadasia rinconis	0	0	0	0	1	1	0	0	0	0	0	0
Epeolus minimus	0	0	0	0	0	0	0	0	0	0	0	0
Eucera actuosa	0	0	1	1	0	0	0	0	0	0	0	0
Eucera amsinckiae	0	0	0	0	0	0	0	0	0	0	0	0
Eucera edwardsii	0	0	0	1	1	0	0	0	0	0	0	0
Eucera frater albopilosa	0	0	0	1	0	0	0	0	0	0	0	0
Eucera lunata	0	1	0	0	0	0	0	0	0	0	0	0
Exomalopsis cerei	0	0	0	0	0	0	0	0	0	0	0	0
Habropoda depressa	0	0	1	1	0	0	0	0	0	0	0	0
Habropoda miserabilis	0	0	0	1	0	0	0	0	0	0	0	0
Melecta separata callura	0	0	0	0	0	0	0	0	0	0	0	0
Melissodes lupina	0	0	0	0	0	0	1	1	1	0	0	0
Melissodes lustrus	0	0	0	0	0	0	0	0	0	0	0	0
Melissodes stearnsi	0	0	0	0	0	0	1	0	0	0	0	0
Melissodes tepida timberlakei	0	0	0	0	0	0	0	0	0	0	0	0
Nomada edwardsii	0	0	0	1	0	0	0	0	0	0	0	0
Nomada formula	0	0	0	0	0	0	0	0	0	0	0	0
Nomada hesperia	0	0	0	1	1	0	0	0	0	0	0	0
Nomada semisuavis	0	0	0	0	0	0	0	0	0	0	0	0
Nomada suavis	0	0	0	0	0	0	0	0	0	0	0	0
Triepeolus heterurus	0	0	0	0	0	0	0	0	0	0	0	0
Xeromelecta californica	0	0	0	0	0	1	0	0	0	0	0	0
Colletes hyalinus gaudialis	0	0	0	1	1	0	0	0	1	1	0	0
Colletes kincaidii	0	0	0	0	0	0	1	1	1	0	0	0
Colletes slevini	0	0	0	1	0	0	1	1	1	0	0	0
Hylaeus mesillae	0	0	0	0	0	0	0	0	1	0	0	0
Hylaeus polifolii	0	0	0	1	0	0	1	0	0	0	0	0
Hylaeus rudbeckiae	0	0	0	1	0	0	0	0	0	0	0	0
Agapostemon texanus	0	0	1	1	1	1	1	1	1	1	1	0
Augochlorella pomoniella	0	0	1	1	1	1	1	1	1	1	1	1
Halictus farinosus	1	1	1	1	1	1	1	0	0	0	0	0
Halictus harmonius	0	0	0	0	0	0	0	0	0	1	0	0
Halictus ligatus	0	0	0	0	0	0	0	0	0	0	0	0
Halictus rubicundus	0	0	0	0	1	0	0	0	0	0	0	0
Halictus seladonius	0	0	0	0	0	0	1	0	0	0	0	0
Halictus tripartitus	0	0	1	1	1	1	1	1	1	1	1	0
Lasioglossum albohirtum	0	0	0	0	1	0	0	0	0	0	0	0
Lasioglossum argemonis	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum avalonense	0	0	0	1	1	1	1	0	0	0	0	0
Lasioglossum brunneiventre	0	0	0	1	0	0	0	0	0	0	0	0
Lasioglossum cabrilli	0	0	0	1	0	0	1	0	0	1	0	0
Lasioglossum californiae	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum channelense	0	0	0	1	1	1	1	1	1	1	0	0
Lasioglossum diversopunctatum	0	0	0	1	1	1	1	1	1	1	0	0
Lasioglossum hammondi	0	0	0	1	1	1	1	1	1	1	0	0
Lasioglossum hyalinum	0	0	0	0	0	0	0	0	1	0	0	0
Lasioglossum incompletum	0	1	1	1	1	1	1	1	1	1	0	0
Lasioglossum kincaidii	0	0	0	1	1	1	1	1	1	1	0	0
Lasioglossum mellipes	0	1	1	1	1	1	1	0	0	0	0	0
Lasioglossum microlepoides	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum miguelense	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum nevadense	0	0	0	1	1	1	1	1	1	1	0	0
Lasioglossum nigrescens	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum ovaliceps	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum perichlarus	0	0	0	0	0	0	0	0	0	0	0	0
Lasioglossum punctatoventre	0	0	0	1	0	0	0	0	0	0	0	0
Lasioglossum tegulare	0	1	1	0	0	0	0	0	0	0	0	0
Lasioglossum titusi	0	0	0	0	1	1	1	1	1	1	0	0
Sphecodes	0	0	0	1	1	1	1	1	1	0	0	0
Anthidium collectum	0	0	0	0	1	0	0	0	0	0	0	0
Anthidium illustre	0	0	0	0	0	0	0	0	0	0	0	0
Anthidium maculosum	0	0	0	0	0	0	0	0	0	0	0	0
Ashmeadiella cactorum basalis	0	0	0	0	0	0	0	0	0	0	0	0
Ashmeadiella chumashae	0	0	0	0	0	0	0	0	0	0	0	0
Ashmeadiella cubiceps	0	0	0	1	0	0	0	0	0	0	0	0
Ashmeadiella opuntiae	0	0	0	0	0	0	0	0	0	0	0	0
Ashmeadiella timberlakei	0	0	0	0	0	0	0	0	0	0	0	0
Ashmeadiella xenomastax	0	0	0	0	1	0	0	0	0	0	0	0
Atoposmia copelandica albomarginata	0	0	0	0	0	0	0	0	0	0	0	0
Coelioxys octodentata	0	0	0	0	0	0	0	0	0	0	0	0
Dioxys productus cismontanicus	0	0	0	0	0	0	0	0	0	0	0	0
Megachile angelarum	0	0	0	0	0	0	0	0	0	0	0	0
Megachile apicalis	0	0	0	0	0	1	1	0	0	0	0	0
Megachile brevis	0	0	0	0	0	0	0	0	0	0	0	0
Megachile coquilletti	0	0	0	0	0	0	0	0	0	0	0	0
Megachile fidelis	0	0	0	0	0	0	0	0	0	0	0	0
Megachile montivaga	0	0	0	1	0	0	0	0	0	0	0	0
Megachile onobrychidis	0	0	0	0	0	1	1	0	0	0	0	0
Megachile rotundata	0	0	0	0	0	0	1	0	0	0	0	0
Osmia albolateralis	0	0	0	0	0	0	0	0	0	0	0	0
Osmia austromaritima	0	0	1	1	0	0	0	0	0	0	0	0
Osmia bruneri	0	0	0	0	0	0	1	0	0	0	0	0
Osmia californica	0	0	0	1	0	0	0	0	0	0	0	0
Osmia calla	0	0	0	0	0	0	0	0	0	0	0	0
Osmia clarescens	0	0	0	1	0	0	0	0	0	0	0	0
Osmia coloradensis	0	0	0	0	0	1	0	0	0	0	0	0
Osmia gabrielis	0	0	1	1	1	1	0	0	0	0	0	0
Osmia gaudiosa	0	0	0	1	0	0	0	0	0	0	0	0
Osmia kincaidii	0	0	0	0	0	0	0	0	0	0	0	0
Osmia laeta	0	0	0	0	1	0	0	0	0	0	0	0
Osmia nemoris	0	0	1	0	0	1	1	0	0	0	0	0
Osmia tristella	0	0	0	0	1	1	0	0	0	0	0	0
Protosmia rubifloris	0	0	1	1	1	0	0	0	0	0	0	0
Stelis	0	0	0	0	0	0	0	0	0	0	0	0
